Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
111 1000.00 1059.06 30.500114 51.3798 2.59801 8.6744 2.6436 0 19.658 0.733273 1.83046 0 0 7.59415 3.3333 0.615088 0.614669 0.325222 0
112 1000.00 1054.08 28.987675 51.8162 2.46588 8.51427 2.72254 0 19.5983 0.726804 1.6207 0 0 7.51971 3.38669 0.640047 0.646739 0.34219 0
113 1000.00 1049.09 27.569944 52.2836 2.34056 8.35843 2.80291 0 19.4741 0.71638 1.4213 0 0 7.45485 3.44231 0.665762 0.679997 0.359787 0
114 1000.00 1044.11 26.258086 52.7691 2.22028 8.20794 2.88179 0 19.3057 0.703966 1.23636 0 0 7.39174 3.49947 0.691896 0.713969 0.377762 0
115 1000.00 1039.12 25.043432 53.2705 2.10484 8.06234 2.95851 0 19.0971 0.689973 1.06612 0 0 7.32962 3.55795 0.718413 0.748598 0.396084 0
116 1000.00 1034.14 23.917856 53.7857 1.99405 7.92123 3.03243 0 18.852 0.674771 0.910541 0 0 7.26784 3.61756 0.745278 0.783827 0.414723 0
117 1000.00 1029.15 22.873738 54.3132 1.88774 7.78436 3.10289 0 18.5741 0.658682 0.769412 0 0 7.20576 3.67813 0.772461 0.819607 0.433654 0
118 1000.00 1024.17 21.903974 54.8515 1.78574 7.6515 3.16926 0 18.2666 0.641981 0.642361 0 0 7.14287 3.7395 0.799935 0.855893 0.452854 0
119 1000.00 1019.18 21.001988 55.3995 1.6879 7.52246 3.23093 0 17.9324 0.624899 0.528918 0 0 7.07874 3.80157 0.827681 0.892652 0.472303 0
120 1000.00 1014.20 20.161755 55.9562 1.59409 7.39709 3.28732 0 17.5744 0.607625 0.428546 0 0 7.01306 3.8642 0.85568 0.929853 0.491986 0
121 1000.00 1009.21 19.358448 56.5562 1.50217 7.27922 3.33894 0 17.1992 0.590607 0.339445 0 0 6.9197 3.93065 0.884764 0.946717 0.512401 0
122 1000.00 1004.23 16.423368 62.0069 0.656514 7.46951 1.55198 0 13.5747 0.541592 0.142537 0 0 7.07333 4.41387 1.02949 0.935682 0.603974 0
123 1000.00 999.24 15.842942 62.7777 0.616006 7.32897 1.44722 0 13.0639 0.528114 0.101541 0 0 7.02455 4.47933 1.0612 0.945434 0.626102 0
124 1000.00 994.26 15.315336 63.5102 0.581291 7.1874 1.35104 0 12.5743 0.515384 0.0693757 0 0 6.97532 4.54013 1.09189 0.956016 0.647671 0
125 1000.00 989.27 14.832750 64.209 0.55134 7.04581 1.26246 0 12.1032 0.503368 0.0447328 0 0 6.92543 4.5969 1.12168 0.967353 0.668743 0
